title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
Exitus Energia Solar em Curitiba,https://www.google.com/maps/place/Exitus+Energia+Solar+em+Curitiba/data=!4m7!3m6!1s0x94dce7432a3e33db:0xdc443da46a9154a7!8m2!3d-25.4000027!4d-49.2468288!16s%2Fg%2F11s9jtx5n_!19sChIJ2zM-KkPn3JQRp1SRaqQ9RNw,https://exitusenergiamaringa.rds.land/energia-solar-curitiba?gclid=Cj0KCQjw48OaBhDWARIsAMd966CvK2a2o9sF78b6GzRRKhO6y-gln3mr9K7ecCGRs5R5eOkQj6UG6sUaAuruEALw_wcB,No data found,,"2,3",6,Equipamentos e soluções de energia,"Av. Paraná, 1489 - Bacacheri, Curitiba - PR, 82510-000, Brasil",+55 41 99938-6290,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Renova Green,https://www.google.com/maps/place/Renova+Green/data=!4m7!3m6!1s0x94dce675c2843555:0x538946698447315c!8m2!3d-25.4215149!4d-49.2720395!16s%2Fg%2F11bw657vlc!19sChIJVTWEwnXm3JQRXDFHhGlGiVM,http://www.renovagreen.com.br/,Data found,,"4,9",93,Empresa de energia solar,"Rua Duque de Caxias, 650 - São Francisco, Curitiba - PR, 80530-040, Brasil",+55 41 4141-5654,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@renovagreen.com.br,41 4141-5654
Energia Solar FM,https://www.google.com/maps/place/Energia+Solar+FM/data=!4m7!3m6!1s0x94dce5d519c1c399:0xdd7b332041b3905c!8m2!3d-25.4032448!4d-49.242099!16s%2Fg%2F11syyyr0w1!19sChIJmcPBGdXl3JQRXJCzQSAze90,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. México, 20 - Bacacheri, Curitiba - PR, 82510-060, Brasil",+55 41 99666-6970,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Brasul Energia Solar,https://www.google.com/maps/place/Brasul+Energia+Solar/data=!4m7!3m6!1s0x94dce505379a4701:0xb09f7c870829b808!8m2!3d-25.4496853!4d-49.2684949!16s%2Fg%2F11j4814gzj!19sChIJAUeaNwXl3JQRCLgpCId8n7A,https://brasulenergia.com.br/,Data found,,"4,5",8,Fornecedor de equipamentos a energia solar,"Rua 24 de Maio, 1500 - Rebouças, Curitiba - PR, 80220-060, Brasil",+55 41 99193-7475,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@brasulenergia.com.br,(41) 99193-7475
Primeira Opção Energia Solar Curitiba,https://www.google.com/maps/place/Primeira+Op%C3%A7%C3%A3o+Energia+Solar+Curitiba/data=!4m7!3m6!1s0x94dce508b83c39c7:0x784b7092bd91270e!8m2!3d-25.4584739!4d-49.2172645!16s%2Fg%2F11ts4bm3l1!19sChIJxzk8uAjl3JQRDieRvZJwS3g,https://www.solutudo.com.br/empresas/pr/curitiba/energia-solar/primeira-opcao-energia-solar-23128669,Data found,,"5,0",2,Fornecedor de equipamentos a energia solar,"R. Teófilo Otoní, 335 - Cajuru, Curitiba - PR, 82940-000, Brasil",+55 41 98523-3828,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,12345678910
BRSol Energia Solar - Curitiba PR,https://www.google.com/maps/place/BRSol+Energia+Solar+-+Curitiba+PR/data=!4m7!3m6!1s0x94dce32199a58e71:0xdb5952ca4980342b!8m2!3d-25.4353332!4d-49.3029984!16s%2Fg%2F11qgtr_zgw!19sChIJcY6lmSHj3JQRKzSAScpSWds,https://brsol.com.br/unidades/curitiba,Data found,,,,Fornecedor de equipamentos a energia solar,"R. Gastão Câmara, 499 - Bigorrilho, Curitiba - PR, 80730-300, Brasil",+55 41 99129-5779,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",andy.alves@brsol.com.br,(41) 99129-5779
PackSolar,https://www.google.com/maps/place/PackSolar/data=!4m7!3m6!1s0x94dce5eb9c962f0d:0x9e0eb4febfbdf9e1!8m2!3d-25.4345447!4d-49.2621532!16s%2Fg%2F11flrxnkpw!19sChIJDS-WnOvl3JQR4fm9v_60Dp4,http://www.packsolar.com.br/,No data found,,"5,0",4,Fornecedor de equipamentos a energia solar,"Av. Visc. de Guarapuava, 2131 - Centro, Curitiba - PR, 80060-060, Brasil",+55 41 98727-6336,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Latitude Solar,https://www.google.com/maps/place/Latitude+Solar/data=!4m7!3m6!1s0x94dce7fe190aef3f:0x93eb550525a3c79!8m2!3d-25.4041278!4d-49.2573719!16s%2Fg%2F11nm_w7qvw!19sChIJP-8KGf7n3JQReTxaUlC1Pgk,http://www.latitudesolar.com.br/,Data found,,"5,0",4,Empresa de energia solar,"Av. Anita Garibaldi, 850 - Salas 207, 208 e 209 - Cabral, Curitiba - PR, 80540-180, Brasil",+55 41 3053-2811,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@latitudesolar.com.br,(41) 3053-2811
Paraná Energia Solar ✅| Orçamento Energia Solar Curitiba ✅ | Orçamento Painéis Solares - PR ✅ | Energia Solar Empresarial,https://www.google.com/maps/place/Paran%C3%A1+Energia+Solar+%E2%9C%85%7C+Or%C3%A7amento+Energia+Solar+Curitiba+%E2%9C%85+%7C+Or%C3%A7amento+Pain%C3%A9is+Solares+-+PR+%E2%9C%85+%7C+Energia+Solar+Empresarial/data=!4m7!3m6!1s0x94dce1cc0550110d:0xdba2e33d9c8abd83!8m2!3d-25.4160856!4d-49.3377164!16s%2Fg%2F11jg323yt0!19sChIJDRFQBczh3JQRg72KnD3jots,http://paranaenergiasolar.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4093123510264709685,Data found,,"4,9",38,Fornecedor de equipamentos a energia solar,"Rua Estephano Reva, 209 - Santa Felicidade, Curitiba - PR, 82015-640, Brasil",+55 41 99589-9364,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",email@exemplo.com,
Renovapower | Energia solar Curitiba,https://www.google.com/maps/place/Renovapower+%7C+Energia+solar+Curitiba/data=!4m7!3m6!1s0x88ca5105748707e3:0x81f796febc7a911!8m2!3d-25.4589918!4d-49.2100911!16s%2Fg%2F11rkpbt0jg!19sChIJ4weHdAVRyogREanH6295Hwg,https://renovapower.com.br/,Data found,,"5,0",22,Fornecedor de equipamentos a energia solar,"Rua Ângelo Cavichiolo, 95 - Sobrado 1 - Cajuru, Curitiba - PR, 82930-260, Brasil",+55 41 99693-0367,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",exemplo@gmail.com,
Blue Sol Curitiba - Energia Solar,https://www.google.com/maps/place/Blue+Sol+Curitiba+-+Energia+Solar/data=!4m7!3m6!1s0x94dce15316ba5a5f:0x585ac9ca91234bec!8m2!3d-25.3851404!4d-49.3234068!16s%2Fg%2F11gk_ygnbp!19sChIJX1q6FlPh3JQR7EsjkcrJWlg,http://bluesol.com.br/curitiba,Data found,,"3,3",9,Empresa de energia solar,"Av. Fredolin Wolf, 4068 - 2 - Santa Felicidade, Curitiba - PR, 82410-330, Brasil",+55 41 3387-6425,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",claudio.coutinho@bluesol.com.br,(41)3387-6425
ECOPOWER ENERGIA SOLAR UNIDADE CURITIBA,https://www.google.com/maps/place/ECOPOWER+ENERGIA+SOLAR+UNIDADE+CURITIBA/data=!4m7!3m6!1s0x94dcfd8560453a45:0x7970240c7f4115b9!8m2!3d-25.4787567!4d-49.3281432!16s%2Fg%2F11h7b5f57p!19sChIJRTpFYIX93JQRuRVBfwwkcHk,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. Pablo Picasso, 92 - Fazendinha, Curitiba - PR, 81330-310, Brasil",+55 41 3245-9806,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Sistema de Energia Solar,https://www.google.com/maps/place/Sistema+de+Energia+Solar/data=!4m7!3m6!1s0x94dce46da6166721:0x16866cbd36ff027c!8m2!3d-25.433638!4d-49.2721588!16s%2Fg%2F11j3x0zlr8!19sChIJIWcWpm3k3JQRfAL_Nr1shhY,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. José Loureiro, 12 - Centro, Curitiba - PR, 82590-300, Brasil",+55 21 3556-3108,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
PORTTE ENERGIA SOLAR,https://www.google.com/maps/place/PORTTE+ENERGIA+SOLAR/data=!4m7!3m6!1s0x94dce5fcb2aa504b:0xd0ef8057f51f84c7!8m2!3d-25.4527228!4d-49.2699853!16s%2Fg%2F11s18cj9rt!19sChIJS1Cqsvzl3JQRx4Qf9VeA79A,https://solar.portteeletrica.com.br/,Data found,,"5,0",10,Fornecedor de equipamentos a energia solar,"R. Chile, 2211 - Loja 3 - Rebouças, Curitiba - PR, 80220-181, Brasil",+55 41 97403-1817,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",portte@portteeletrica.com.br,(41)35242608
"Effect Energia Solar: Placa Solar, Energia Solar em Curitiba PR","https://www.google.com/maps/place/Effect+Energia+Solar:+Placa+Solar,+Energia+Solar+em+Curitiba+PR/data=!4m7!3m6!1s0x94dcf1429422ad99:0x9e0d601d9224463a!8m2!3d-25.4801256!4d-49.1944438!16s%2Fg%2F11t13hv9xn!19sChIJma0ilELx3JQROkYkkh1gDZ4",http://www.effectenergiasolar.com.br/,Data found,,"5,0",6,Fornecedor de equipamentos a energia solar,"Rua Antônio Moreira Lopes, 151 - Cajuru, Curitiba - PR, 82980-100, Brasil",+55 41 99927-8648,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,43 99611-7094
123 Solar Curitiba,https://www.google.com/maps/place/123+Solar+Curitiba/data=!4m7!3m6!1s0x94dce397be0d73e3:0x69ca7d8568ca3e92!8m2!3d-25.4305516!4d-49.3198745!16s%2Fg%2F11qnlpr16h!19sChIJ43MNvpfj3JQRkj7KaIV9ymk,https://123solarcuritiba.com.br/,Data found,,"5,0",6,Fornecedor de equipamentos a energia solar,"R. Clara Vendramin, 51 - Mossunguê, Curitiba - PR, 81200-170, Brasil",+55 41 3500-8460,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",curitiba@123solar.com.br,(41) 3500-8460
Opus Solar,https://www.google.com/maps/place/Opus+Solar/data=!4m7!3m6!1s0x94dce458515aaaab:0x23ae44518322e769!8m2!3d-25.4700721!4d-49.2717474!16s%2Fg%2F11j0ytkp7q!19sChIJq6paUVjk3JQRaecig1FEriM,http://opussolar.com.br/,No data found,,"4,5",24,Fornecedor de equipamentos a energia solar,"R. Minas Gerais, 1004 - Guaíra, Curitiba - PR, 80630-220, Brasil",+55 41 3025-6250,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Sarasol Engenharia - Energia Solar,https://www.google.com/maps/place/Sarasol+Engenharia+-+Energia+Solar/data=!4m7!3m6!1s0x94dce39550b1c223:0xc2df3757f190bf05!8m2!3d-25.4540914!4d-49.2663029!16s%2Fg%2F11t635mvqj!19sChIJI8KxUJXj3JQRBb-Q8Vc338I,http://www.sarasol.com.br/,Data found,,"5,0",44,Fornecedor de equipamentos a energia solar,"Rua Doutor Romualdo A. Baraúna, 269 Av Presidente Kennedy, 522, Rebouças, Curitiba - PR, 80220-200 - seminário, Curitiba - PR, 80740-250, Brasil",+55 41 99241-8658,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@sarasol.com.br,(41) 3085-4930
Curso de Energia Solar em Curitiba LGL Solar,https://www.google.com/maps/place/Curso+de+Energia+Solar+em+Curitiba+LGL+Solar/data=!4m7!3m6!1s0x94dce50effc64a45:0xbd445fdbd326fa03!8m2!3d-25.4775818!4d-49.29874!16s%2Fg%2F11k0ldb2tr!19sChIJRUrG_w7l3JQRA_om09tfRL0,https://curso-de-energia-solar-em-curitiba.negocio.site/?utm_source=gmb&utm_medium=referral,Data found,,"5,0",27,Fornecedor de equipamentos a energia solar,"Rua Frei Gaspar da Madre de Deus, 248 - Portão, Curitiba - PR, 81070-090, Brasil",+55 11 3042-2303,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,(11) 3042-2303
HSP Solar,https://www.google.com/maps/place/HSP+Solar/data=!4m7!3m6!1s0x94dce436cb8fffff:0x6a2d45588e9d231a!8m2!3d-25.4077411!4d-49.2542319!16s%2Fg%2F11fxcg3pfx!19sChIJ__-Pyzbk3JQRGiOdjlhFLWo,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. Dr. Manoel Pedro, 365 - Cabral, Curitiba - PR, 80035-030, Brasil",+55 41 99823-7830,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Energia Solar Curitiba | Joaquim Cancela Gonçalves | Consultor da FAAD Energy,https://www.google.com/maps/place/Energia+Solar+Curitiba+%7C+Joaquim+Cancela+Gon%C3%A7alves+%7C+Consultor+da+FAAD+Energy/data=!4m7!3m6!1s0x94dce3ef9c47656d:0xf137dbf1e39e538c!8m2!3d-25.4770357!4d-49.2845193!16s%2Fg%2F11h23b2t80!19sChIJbWVHnO_j3JQRjFOe4_HbN_E,https://faadenergy.com.br/,No data found,,"5,0",2,Fornecedor de equipamentos a energia solar,"Av. Presidente Wenceslau Braz, 3158 - Parolin, Curitiba - PR, 81010-001, Brasil",+55 41 99213-2049,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Sfero Energia Solar,https://www.google.com/maps/place/Sfero+Energia+Solar/data=!4m7!3m6!1s0x94dce3781024a08f:0x7b0fc882a8348a2e!8m2!3d-25.4454313!4d-49.286063!16s%2Fg%2F11jbttc0j1!19sChIJj6AkEHjj3JQRLoo0qILID3s,http://sfero.com.br/,Data found,,"5,0",1,Fornecedor de equipamentos a energia solar,"Avenida Sete de Setembro, 4995 Térreo, 01 - Batel, Curitiba - PR, 80240-001, Brasil",+55 41 99956-2606,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,(41) 3528.4763
